Amaroo,1728802800,1.0,213.62,1.63,59.37,0.26,0.5,0.87,0.86
Amaroo,1728806400,1.0,220.3,4.07,51.5,0.41,0.65,1.15,1.55
Amaroo,1728810000,1.0,226.97,5.44,45.78,0.55,0.84,1.45,2.09
Amaroo,1728813600,1.0,233.65,6.85,40.41,0.66,1.11,1.93,2.91
Amaroo,1728817200,1.0,240.33,8.57,33.26,0.77,1.44,2.6,4.18
Amaroo,1728820800,1.0,240.33,9.51,27.89,0.86,1.63,3.23,5.57
Amaroo,1728824400,1.0,230.31,9.0,23.6,0.75,1.58,3.4,6.27
Amaroo,1728828000,1.0,213.62,6.94,20.74,0.42,1.51,3.04,5.13
Amaroo,1728831600,1.0,201.94,4.71,22.17,0.25,1.7,2.81,3.17
Amaroo,1728835200,1.0,198.6,3.21,26.46,0.25,2.14,2.98,1.87
Amaroo,1728838800,1.0,198.6,2.72,27.54,0.29,2.63,3.44,1.77
Amaroo,1728842400,1.0,198.6,2.59,27.54,0.38,3.18,4.03,2.01
Amaroo,1728846000,1.0,200.27,2.78,27.18,0.53,3.66,4.53,2.28
Amaroo,1728849600,1.0,203.61,3.43,26.46,0.63,3.99,4.91,2.28
Amaroo,1728853200,1.0,213.62,5.57,25.03,0.77,4.33,5.48,2.37
Amaroo,1728856800,1.0,230.31,8.05,25.03,0.81,4.48,5.88,2.53
Amaroo,1728860400,1.0,243.66,8.4,26.46,0.81,4.25,5.7,2.72
Amaroo,1728864000,1.0,233.65,5.91,30.4,0.73,3.49,4.6,2.5
Amaroo,1728867600,1.0,223.64,0.22,42.92,0.07,0.5,0.54,0.43
Amaroo,1728871200,1.0,220.3,0.19,42.92,0.06,0.5,0.53,0.37
Amaroo,1728874800,1.0,223.64,0.2,42.2,0.06,0.5,0.53,0.38
Amaroo,1728878400,1.0,223.64,0.25,41.13,0.07,0.5,0.53,0.44
Amaroo,1728882000,1.0,223.64,0.29,39.7,0.08,0.53,0.56,0.52
Amaroo,1728885600,1.0,223.64,0.27,38.62,0.07,0.6,0.64,0.56
Amaroo,1728889200,1.0,223.64,0.57,38.62,0.16,0.7,0.79,0.67
Amaroo,1728892800,1.0,230.31,1.86,38.98,0.4,0.92,1.11,0.73
Amaroo,1728896400,1.0,230.31,2.21,37.55,0.24,0.82,1.07,0.56
Amaroo,1728900000,1.0,223.64,1.06,40.05,0.14,0.95,1.15,0.41
Amaroo,1728903600,1.0,216.96,0.64,44.7,0.16,1.61,1.84,0.37
Amaroo,1728907200,1.0,213.62,0.64,44.35,0.16,1.67,2.01,0.36
Amaroo,1728910800,1.0,211.95,0.72,45.78,0.19,2.02,2.74,0.33
Amaroo,1728914400,1.0,213.62,0.76,49.35,0.21,2.99,4.2,0.31
Amaroo,1728918000,1.0,211.95,0.71,50.78,0.2,3.26,4.43,0.31
Amaroo,1728921600,1.0,210.29,0.63,50.07,0.2,3.1,4.16,0.33
